Player,PER
Butch Beard,16.1
Butch Carter,14.9
Butch Feher,15.9
Butch Graves,-0.8
Butch Lee,15.7
Butch Van,
Byron Beck,13.2
Byron Dinkins,10.9
Byron Houston,13.8
Byron Irvin,17.5
Byron Mullens,16.1
Byron Scott,19.2
C.J. Kupec,12.7
C.J. McCollum,19.9
C.J. Miles,16.0
C.J. Watson,15.4
C.J. Wilcox,12.9
Cal Bowdler,15.8
Cal Christensen,13.7
Cal Ramsey,15.2
Calbert Cheaney,14.2
Caldwell Jones,13.4
Calvin Booth,39.8
Calvin Garrett,10.2
Calvin Murphy*,20.0
Calvin Natt,21.8
Cameron Bairstow,6.8
Cameron Payne,12.9
Campy Russell,19.0
Carey Scurry,18.3
Caris LeVert,12.2
Carl Bailey,-6.8
Carl Braun,17.8
Carl Henry,12.5
Carl Herrera,13.1
Carl Kilpatrick,22.7
Carl Landry,22.4
Carl McNulty,-9.7
Carl Nicks,12.1
Carl Shaeffer,
Carl Thomas,27.8
Carldell Johnson,8.9
Carlos Arroyo,18.8
Carlos Boozer,24.1
Carlos Clark,12.1
Carlos Delfino,13.6
Carlos Rogers,23.3
Carlos Terry,13.7
Carlton McKinney,0.6
Carmelo Anthony,24.8
Caron Butler,20.7
Carrick Felix,13.3
Cartier Martin,13.3
Casey Jacobsen,11.7
Casey Shaw,-14.9
Casper Ware,13.0
Cazzie Russell,17.6
Cedric Ball,10.8
Cedric Bozeman,-0.1
Cedric Ceballos,22.1
Cedric Henderson,22.2
Cedric Hunter,0.0
Cedric Jackson,19.2
Cedric Lewis,62.7
Cedric Maxwell,19.9
Cedric Simmons,18.0
Cedrick Hordges,10.7
Cezary Trybanski,-1.4
Chad Gallagher,66.8
Chad Kinch,8.0
Chandler Parsons,16.3
Channing Frye,18.1
Charles Barkley*,28.9
Charles Bradley,8.9
Charles Claxton,0.2
Charles Davis,13.9
Charles Dudley,16.1
Charles Jenkins,12.4
Charles Johnson,14.2
Charles Jones,15.1
Charles O'Bannon,13.3
Charles Oakley,16.5
Charles Pittman,11.3
Charles Shackleford,16.6
Charles Smith,19.5
Charles Thomas,6.1
Charley Shipp,
Charlie Bell,14.7
Charlie Black,1.1
Charlie Criss,14.8
Charlie Davis,12.3
Charlie Hardnett,16.2
Charlie Lowery,10.5
Charlie Parsley,
Charlie Paulk,11.5
Charlie Scott,19.0
Charlie Sitton,8.0
Charlie Tyra,13.5
Charlie Villanueva,18.6
Charlie Ward,17.5
Charlie Yelverton,10.3
Chase Budinger,14.9
Chasson Randle,17.7
Chauncey Billups,23.6
Cheese Johnson,9.4
Cheick Diallo,16.8
Cheikh Samb,12.0
Cherokee Parks,13.6
Chet Walker*,21.8
Chick Halbert,
Chick Reiser,
Chico Vaughn,13.2
Chinanu Onuaku,12.3
Chink Crossin,
Chips Sobek,
Chris Andersen,19.0
Chris Anstey,15.1
Chris Babb,3.7
Chris Bosh,25.0
Chris Carr,16.3
